# Pokemon Insurgence Item Data (generated by generate_data_from_game.py)
# ID | SourceID | Name | Pocket | Price | Description | FieldUse | BattleUse | ItemType | MoveID | MachineType | MachineCategory
3 | 1 | Repel | Items | 350 | An item that prevents weak wild Pokémon from appearing for 100 steps after its use. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
311 | 155 | Zap Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Electric-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
313 | 156 | Meadow Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Grass-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
315 | 157 | Icicle Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ice-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
317 | 158 | Fist Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fighting-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
319 | 159 | Toxic Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Poison-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
321 | 160 | Earth Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ground-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
323 | 161 | Sky Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Flying-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
325 | 162 | Mind Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Psychic-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
327 | 163 | Insect Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Bug-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
329 | 164 | Stone Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Rock-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
331 | 165 | Spooky Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ghost-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
333 | 166 | Draco Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dragon-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
335 | 167 | Dread Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dark-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
337 | 168 | Iron Plate | Items | 1000 | An item to be held by a Pokémon. It is a stone tablet that boosts the power of Steel-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
339 | 169 | Fire Gem | Items | 200 | A gem with an essence of fire. When held, it strengthens the power of a Fire-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
341 | 170 | Water Gem | Items | 200 | A gem with an essence of water. When held, it strengthens the power of a Water-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
343 | 171 | Electric Gem | Items | 200 | A gem with an essence of electricity. When held, it strengthens the power of an Electric-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
345 | 172 | Grass Gem | Items | 200 | A gem with an essence of nature. When held, it strengthens the power of a Grass-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
347 | 173 | Ice Gem | Items | 200 | A gem with an essence of ice. When held, it strengthens the power of an Ice-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
349 | 174 | Fighting Gem | Items | 200 | A gem with an essence of combat. When held, it strengthens the power of a Fighting-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
351 | 175 | Poison Gem | Items | 200 | A gem with an essence of poison. When held, it strengthens the power of a Poison-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
353 | 176 | Ground Gem | Items | 200 | A gem with an essence of land. When held, it strengthens the power of a Ground-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
355 | 177 | Flying Gem | Items | 200 | A gem with an essence of air. When held, it strengthens the power of a Flying-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
357 | 178 | Psychic Gem | Items | 200 | A gem with an essence of the mind. When held, it strengthens the power of a Psychic-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
359 | 179 | Bug Gem | Items | 200 | A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
361 | 180 | Rock Gem | Items | 200 | A gem with an essence of rock. When held, it strengthens the power of a Rock-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
363 | 181 | Ghost Gem | Items | 200 | A gem with a spectral essence. When held, it strengthens the power of a Ghost-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
365 | 182 | Dragon Gem | Items | 200 | A gem with a draconic essence. When held, it strengthens the power of a Dragon-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
367 | 183 | Dark Gem | Items | 200 | A gem with an essence of darkness. When held, it strengthens the power of a Dark-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
369 | 184 | Steel Gem | Items | 200 | A gem with an essence of steel. When held, it strengthens the power of a Steel-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
371 | 185 | Normal Gem | Items | 200 | A gem with an ordinary essence. When held, it strengthens the power of a Normal-type move only once. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
373 | 186 | Light Ball | Items | 100 | An item to be held by Pikachu. It is a puzzling orb that raises the Attack and Sp. Atk stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
375 | 187 | Lucky Punch | Items | 10 | An item to be held by Chansey. It is a pair of gloves that boosts Chansey's critical-hit ratio. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
377 | 188 | Metal Powder | Items | 10 | An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Defense stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
379 | 189 | Quick Powder | Items | 10 | An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Speed stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
381 | 190 | Thick Club | Items | 500 | An item to be held by Cubone or Marowak. It is a hard bone of some sort that boosts the Attack stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
383 | 191 | Stick | Items | 200 | An item to be held by Farfetch'd. It is a very long and stiff stalk of leek that boosts the critical-hit ratio. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
385 | 192 | Soul Dew | Items | 20000 | A wondrous orb to be held by Latios or Latias. It raises both the Sp. Atk and Sp. Def stats. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
387 | 193 | Deep Sea Tooth | Items | 200 | An item to be held by Clamperl. A fang that gleams a sharp silver, it raises the Sp. Atk stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
389 | 194 | Deep Sea Scale | Items | 200 | An item to be held by Clamperl. A scale that shines a faint pink, it raises the Sp. Def stat. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
391 | 195 | Adamant Orb | Items | 10000 | A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
393 | 196 | Lustrous Orb | Items | 10000 | A beautifully glowing orb to be held by Palkia. It boosts the power of Dragon- and Water-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
395 | 197 | Griseous Orb | Items | 10000 | A glowing orb to be held by Giratina. It boosts the power of Dragon- and Ghost-type moves. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
397 | 198 | Douse Drive | Items | 10000 | A cassette to be held by Genesect. It changes Techno Blast to a Water-type move. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
399 | 199 | Shock Drive | Items | 10000 | A cassette to be held by Genesect. It changes Techno Blast to an Electric-type move. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
401 | 200 | Burn Drive | Items | 10000 | A cassette to be held by Genesect. It changes Techno Blast to a Fire-type move. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
403 | 201 | Chill Drive | Items | 10000 | A cassette to be held by Genesect. It changes Techno Blast to an Ice-type move. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
405 | 202 | Everstone | Items | 200 | An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
407 | 203 | Dragon Scale | Items | 2100 | A thick and tough scale. Dragon-type Pokémon may be holding this item when caught. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
409 | 204 | Up-Grade | Items | 2100 | A transparent device filled with all sorts of data. It was produced by Silph Co. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
411 | 205 | Dubious Disc | Items | 2100 | A transparent device overflowing with dubious data.  Its producer is unknown. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
413 | 206 | Protector | Items | 2100 | A protective item of some sort. It is extremely stiff and heavy. It is loved by a certain Pokémon. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
415 | 207 | Electirizer | Items | 2100 | A box packed with a tremendous amount of electric energy. It is loved by a certain Pokémon. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
417 | 208 | Magmarizer | Items | 2100 | A box packed with a tremendous amount of magma energy. It is loved by a certain Pokémon. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
419 | 209 | Reaper Cloth | Items | 2100 | A cloth imbued with horrifyingly strong spiritual energy. It is loved by a certain Pokémon. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
421 | 210 | Prism Scale | Items | 500 | A mysterious scale that evolves certain Pokémon. It shines in rainbow colors. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
423 | 211 | Oval Stone | Items | 2100 | A peculiar stone that makes certain species of Pokémon evolve. It is shaped like an egg. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
425 | 212 | Red Scarf | Items | 100 | An item to be held by a Pokémon. It boosts the Cool aspect of the holder in a Contest. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
427 | 213 | Blue Scarf | Items | 100 | An item to be held by a Pokémon. It boosts the Beauty aspect of the holder in a Contest. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
429 | 214 | Pink Scarf | Items | 100 | An item to be held by a Pokémon. It boosts the Cute aspect of the holder in a Contest. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
431 | 215 | Green Scarf | Items | 100 | An item to be held by a Pokémon. It boosts the Smart aspect of the holder in a Contest. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
433 | 216 | Yellow Scarf | Items | 100 | An item to be held by a Pokémon. It boosts the Tough aspect of the holder in a Contest. | Cannot be used from bag | Not usable in battle | Regular | 0 | 100 | 101
435 | 217 | Potion | Medicine | 300 | A spray-type medicine for wounds. It restores the HP of one Pokémon by just 20 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
437 | 218 | Super Potion | Medicine | 700 | A spray-type medicine for wounds. It restores the HP of one Pokémon by 50 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
439 | 219 | Hyper Potion | Medicine | 1200 | A spray-type medicine for wounds. It restores the HP of one Pokémon by 200 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
441 | 220 | Max Potion | Medicine | 2500 | A spray-type medicine for wounds. It completely restores the HP of a single Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
443 | 221 | Full Restore | Medicine | 3000 | A medicine that fully restores the HP and heals any status problems of a single Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
445 | 222 | Sacred Ash | Medicine | 200 | It revives all fainted Pokémon. In doing so, it also fully restores their HP. | Use from bag | Not usable in battle | Regular | 0 | 100 | 101
447 | 223 | Awakening | Medicine | 250 | A spray-type medicine. It awakens a Pokémon from the clutches of sleep. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
449 | 224 | Antidote | Medicine | 100 | A spray-type medicine. It lifts the effect of poison from one Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
451 | 225 | Burn Heal | Medicine | 250 | A spray-type medicine. It heals a single Pokémon that is suffering from a burn. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
453 | 226 | Paralyze Heal | Medicine | 200 | A spray-type medicine. It eliminates paralysis from a single Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
455 | 227 | Ice Heal | Medicine | 250 | A spray-type medicine. It defrosts a Pokémon that has been frozen solid. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
457 | 228 | Full Heal | Medicine | 600 | A spray-type medicine. It heals all the status problems of a single Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
459 | 229 | Lava Cookie | Medicine | 200 | A speciality of a faraway town. It heals all the status problems of one Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
461 | 230 | Old Gateau | Medicine | 200 | Old Chateau's hidden specialty. It heals all the status problems of a single Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
463 | 231 | Casteliacone | Medicine | 100 | Castelia City's specialty, soft-serve ice cream. It heals all the status problems of a single Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
465 | 232 | Revive | Medicine | 1500 | A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
467 | 233 | Max Revive | Medicine | 4000 | A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
469 | 234 | Berry Juice | Medicine | 100 | A 100% pure juice made of Berries. It restores the HP of one Pokémon by just 20 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
471 | 235 | Rage Candy Bar | Medicine | 400 | A famous Mahogany Town candy tourists like to buy and take home. It restores the HP of one Pokémon by 20 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
473 | 236 | Sweet Heart | Medicine | 100 | Very sweet chocolate. It restores the HP of one Pokémon by only 20 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
475 | 237 | Fresh Water | Medicine | 200 | Water with a high mineral content. It restores the HP of one Pokémon by 50 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
477 | 238 | Soda Pop | Medicine | 300 | A fizzy soda drink. It restores the HP of one Pokémon by 60 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
479 | 239 | Lemonade | Medicine | 350 | A very sweet drink. It restores the HP of one Pokémon by 80 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
481 | 240 | Moomoo Milk | Medicine | 500 | Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
483 | 241 | Energy Powder | Medicine | 500 | A very bitter medicine powder. It restores the HP of one Pokémon by 50 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
485 | 242 | Energy Root | Medicine | 800 | A very bitter root. It restores the HP of one Pokémon by 200 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
487 | 243 | Heal Powder | Medicine | 550 | A very bitter medicine powder. It heals all the status problems of a single Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
489 | 244 | Revival Herb | Medicine | 2800 | A very bitter medicinal herb. It revives a fainted Pokémon, fully restoring its HP. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
491 | 245 | Ether | Medicine | 1200 | It restores the PP of a Pokémon's selected move by a maximum of 10 points. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
493 | 246 | Max Ether | Medicine | 2000 | It fully restores the PP of a single selected move that has been learned by the target Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
495 | 247 | Elixir | Medicine | 3000 | It restores the PP of all the moves learned by the targeted Pokémon by 10 points each. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
497 | 248 | Max Elixir | Medicine | 4500 | It fully restores the PP of all the moves learned by the targeted Pokémon. | Use on a Pokemon | Use on a Pokemon in battle | Regular | 0 | 100 | 101
499 | 249 | PP Up | Medicine | 9800 | It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
501 | 250 | PP Max | Medicine | 9800 | It maximally raises the top PP of a selected move that has been learned by the target Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
503 | 251 | HP Up | Medicine | 9800 | A nutritious drink for Pokémon. It raises the base HP of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
505 | 252 | Protein | Medicine | 9800 | A nutritious drink for Pokémon. It raises the base Attack stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
507 | 253 | Iron | Medicine | 9800 | A nutritious drink for Pokémon. It raises the base Defense stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
509 | 254 | Calcium | Medicine | 9800 | A nutritious drink for Pokémon. It raises the base Sp. Atk (Special Attack) stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
511 | 255 | Zinc | Medicine | 9800 | A nutritious drink for Pokémon. It raises the base Sp. Def (Special Defense) stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
513 | 256 | Carbos | Medicine | 9800 | A nutritious drink for Pokémon. It raises the base Speed stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
515 | 257 | Health Wing | Medicine | 3000 | An item for use on a Pokémon. It slightly increases the base HP of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
517 | 258 | Muscle Wing | Medicine | 3000 | An item for use on a Pokémon. It slightly increases the base Attack stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
519 | 259 | Resist Wing | Medicine | 3000 | An item for use on a Pokémon. It slightly increases the base Defense stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
521 | 260 | Genius Wing | Medicine | 3000 | An item for use on a Pokémon. It slightly increases the base Sp. Atk stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
523 | 261 | Clever Wing | Medicine | 3000 | An item for use on a Pokémon. It slightly increases the base Sp. Def stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
525 | 262 | Swift Wing | Medicine | 3000 | An item for use on a Pokémon. It slightly increases the base Speed stat of a single Pokémon. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
527 | 263 | Rare Candy | Medicine | 4800 | A candy that is packed with energy. It raises the level of a single Pokémon by one. | Use on a Pokemon | Not usable in battle | Regular | 0 | 100 | 101
529 | 264 | Master Ball | Poke Balls | 0 | The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
531 | 265 | Ultra Ball | Poke Balls | 1200 | An ultra-performance Ball that provides a higher Pokémon catch rate than a Great Ball. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
533 | 266 | Great Ball | Poke Balls | 600 | A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
535 | 267 | Poké Ball | Poke Balls | 200 | A device for catching wild Pokémon. It is thrown line a ball at the target. It is designed as a capsule system. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
537 | 268 | Safari Ball | Poke Balls | 300 | A special Poké Ball that is used only in the Great Marsh. It is decorated in a camouflage pattern. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
539 | 269 | Sport Ball | Poke Balls | 300 | A special Poké Ball for the Bug-Catching Contest. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
541 | 270 | Net Ball | Poke Balls | 1000 | A somewhat different Poké Ball that works especially well on Water- and Bug-type Pokémon. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
543 | 271 | Dive Ball | Poke Balls | 1000 | A somewhat different Poké Ball that works especially well on Pokémon that live underwater. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
545 | 272 | Nest Ball | Poke Balls | 1000 | A somewhat different Poké Ball that works especially well on weaker Pokémon in the wild. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
547 | 273 | Repeat Ball | Poke Balls | 1000 | A somewhat different Poké Ball that works especially well on Pokémon species that were previously caught. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
549 | 274 | Timer Ball | Poke Balls | 1000 | A somewhat different Ball that becomes progressively better the more turns there are in a battle. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
551 | 275 | Luxury Ball | Poke Balls | 1000 | A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
553 | 276 | Premier Ball | Poke Balls | 200 | A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
555 | 277 | Dusk Ball | Poke Balls | 1000 | A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
557 | 278 | Heal Ball | Poke Balls | 300 | A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
559 | 279 | Quick Ball | Poke Balls | 1000 | A somewhat different Poké Ball that provides a better catch rate if it is used at the start of a wild encounter. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
561 | 280 | Cherish Ball | Poke Balls | 200 | A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
563 | 281 | Fast Ball | Poke Balls | 300 | A Poké Ball that makes it easier to catch Pokémon which are quick to run away. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
565 | 282 | Level Ball | Poke Balls | 300 | A Poké Ball for catching Pokémon that are a lower level than your own. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
567 | 283 | Lure Ball | Poke Balls | 300 | A Poké Ball for catching Pokémon hooked by a Rod when fishing. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
569 | 284 | Heavy Ball | Poke Balls | 300 | A Poké Ball for catching very heavy Pokémon. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
571 | 285 | Love Ball | Poke Balls | 300 | A Poké Ball for catching Pokémon that are the opposite gender of your Pokémon. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
573 | 286 | Friend Ball | Poke Balls | 300 | A Poké Ball that makes caught Pokémon more friendly. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
575 | 287 | Moon Ball | Poke Balls | 300 | A Poké Ball for catching Pokémon that evolve using the Moon Stone. | Cannot be used from bag | Use as a Poke Ball | Poke Ball | 0 | 100 | 101
577 | 288 | TM01 | TMs & HMs | 3000 | The user sharpens its claws to boost its Attack stat and accuracy. | Technical/hidden machine | Not usable in battle | Regular | 43 | 100 | 101
579 | 289 | TM02 | TMs & HMs | 3000 | The user slashes the target with huge, sharp claws. | Technical/hidden machine | Not usable in battle | Regular | 57 | 100 | 101
581 | 290 | TM03 | TMs & HMs | 3000 | The user stomps down on the ground and attacks everything in the area. The targets' Speed stat is reduced. | Technical/hidden machine | Not usable in battle | Regular | 229 | 100 | 101
583 | 291 | TM04 | TMs & HMs | 3000 | The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats. | Technical/hidden machine | Not usable in battle | Regular | 470 | 100 | 101
585 | 292 | TM05 | TMs & HMs | 3000 | The target is scared off and replaced by another Pokémon in its party. In the wild, the battle ends. | Technical/hidden machine | Not usable in battle | Regular | 397 | 100 | 101
587 | 293 | TM06 | TMs & HMs | 3000 | The user badly poisons the target. | Technical/hidden machine | Not usable in battle | Regular | 446 | 100 | 101
589 | 294 | TM07 | TMs & HMs | 3000 | Summons a hailstorm that lasts for five turns. The hailstorm damages all types except Ice. | Technical/hidden machine | Not usable in battle | Regular | 257 | 100 | 101
591 | 295 | TM08 | TMs & HMs | 3000 | The user tenses its muscles to bulk up its body, boosting both its Attack and Defense stats. | Technical/hidden machine | Not usable in battle | Regular | 120 | 100 | 101
593 | 296 | TM09 | TMs & HMs | 3000 | The foe is attacked with a shock wave generated by the user's gaping mouth. | Technical/hidden machine | Not usable in battle | Regular | 56 | 100 | 101
595 | 297 | TM10 | TMs & HMs | 3000 | A unique attack that varies in type and intensity depending on the Pokémon using it. | Technical/hidden machine | Not usable in battle | Regular | 333 | 100 | 101
597 | 298 | TM11 | TMs & HMs | 3000 | The user intensifies the sun for five turns, powering up Fire-type moves. | Technical/hidden machine | Not usable in battle | Regular | 150 | 100 | 101
599 | 299 | TM12 | TMs & HMs | 3000 | The target is taunted into a rage that allows it to use only attack moves for three turns. | Technical/hidden machine | Not usable in battle | Regular | 49 | 100 | 101
601 | 300 | TM13 | TMs & HMs | 3000 | The target is struck with an icy-cold beam of energy. It may also freeze the target solid. | Technical/hidden machine | Not usable in battle | Regular | 243 | 100 | 101
603 | 301 | TM14 | TMs & HMs | 3000 | A howling blizzard is summoned to strike the opposing team. It may also freeze them solid. | Technical/hidden machine | Not usable in battle | Regular | 242 | 100 | 101
605 | 302 | TM15 | TMs & HMs | 3000 | The target is attacked with a powerful beam. The user must rest on the next turn to regain its energy. | Technical/hidden machine | Not usable in battle | Regular | 263 | 100 | 101
607 | 303 | TM16 | TMs & HMs | 3000 | A wondrous wall of light is put up to suppress damage from special attacks for five turns. | Technical/hidden machine | Not usable in battle | Regular | 482 | 100 | 101
609 | 304 | TM17 | TMs & HMs | 3000 | It enables the user to evade all attacks. Its chance of failing rises if it is used in succession. | Technical/hidden machine | Not usable in battle | Regular | 391 | 100 | 101
611 | 305 | TM18 | TMs & HMs | 3000 | The user summons a heavy rain that falls for five turns, powering up Water-type moves. | Technical/hidden machine | Not usable in battle | Regular | 556 | 100 | 101
