# Pokemon Insurgence Species Data (generated by generate_pokemon_data.py)
# ID | Name | Type1 | Type2 | Stage | Rarity | BaseHP | BaseAtk | BaseDef | BaseSpA | BaseSpD | BaseSpe | GrowthRate | Kind | PokedexEntry | Color | Habitat | GenderRate | Happiness | StepsToHatch | Height | Weight | BaseEXP | EVHP | EVAtk | EVDef | EVSpA | EVSpD | EVSpe | Ability1 | Ability2 | HiddenAbility | EggGroup1 | EggGroup2 | CatchRate
1 | Bulbasaur | Grass | Poison | 1 | Common | 45 | 49 | 49 | 65 | 65 | 45 | medium-slow | Seed | Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger. | Green |  | Female 12.5% | 70 | 5355 | 7 | 69 | 64 | 0 | 0 | 0 | 1 | 0 | 0 | Overgrow |  | Chlorophyll | Monster | Grass | 45
176 | Togetic | Fairy | Flying | 2 | Common | 55 | 40 | 85 | 80 | 105 | 40 | fast | Happiness | It is said to be a Pokémon that brings good fortune. When it spots someone who is pure of heart, a Togetic appears and shares its happiness with that person. | White | Grassland | Female 12.5% | 70 | 2805 | 6 | 32 | 142 | 0 | 0 | 0 | 0 | 2 | 0 | Hustle | Serene Grace | Super Luck | Flying | Fairy | 75
177 | Natu | Psychic | Flying | 1 | Common | 40 | 50 | 45 | 70 | 45 | 70 | medium-fast | Tiny Bird | It runs up short trees that grow on the savanna to peck at new shoots. A Natu's eyes look as if they are always observing something. | Green | Grassland | Female 50% | 70 | 5355 | 2 | 20 | 64 | 0 | 0 | 0 | 1 | 0 | 0 | Synchronize | Early Bird | Magic Bounce | Flying |  | 190
178 | Xatu | Psychic | Flying | 2 | Common | 65 | 75 | 70 | 95 | 70 | 95 | medium-fast | Mystic | It has the enigmatic power of foreseeing the future. Some people in different lands have long believed that Xatu are emissaries from another world. | Green | Grassland | Female 50% | 70 | 5355 | 15 | 150 | 165 | 0 | 0 | 0 | 1 | 0 | 1 | Synchronize | Early Bird | Magic Bounce | Flying |  | 75
179 | Mareep | Electric |  | 1 | Common | 55 | 40 | 40 | 65 | 45 | 35 | medium-slow | Wool | Its fluffy wool rubs together and builds a static charge. The more energy is charged, the more brightly the lightbulb at the tip of its tail glows. | White |  | Female 50% | 70 | 5355 | 6 | 78 | 56 | 0 | 0 | 0 | 1 | 0 | 0 | Static |  | Plus | Monster | Field | 235
180 | Flaaffy | Electric |  | 2 | Common | 70 | 55 | 55 | 80 | 60 | 45 | medium-slow | Wool | Its fleece quality changes to generate strong static electricity with a small amount of wool. The bare, slick parts of its hide are shielded against electricity. | Pink |  | Female 50% | 70 | 5355 | 8 | 133 | 128 | 0 | 0 | 0 | 2 | 0 | 0 | Static |  | Plus | Monster | Field | 120
181 | Ampharos | Electric |  | 3 | Common | 90 | 75 | 85 | 115 | 90 | 55 | medium-slow | Light | It gives off so much light that it can be seen even from space. People in the old days used its light to send signals back and forth with others far away. | Yellow |  | Female 50% | 70 | 5355 | 14 | 615 | 225 | 0 | 0 | 0 | 3 | 0 | 0 | Static |  | Plus | Monster | Field | 45
182 | Bellossom | Grass |  | 3 | Common | 75 | 80 | 95 | 90 | 100 | 50 | medium-slow | Flower | Its flower petals deepen in color through exposure to sunlight. When cloudy weather persists, it does a dance that is thought to be a ritual for summoning the sun. | Green |  | Female 50% | 70 | 5355 | 4 | 58 | 216 | 0 | 0 | 0 | 0 | 3 | 0 | Chlorophyll |  | Healer | Grass |  | 45
183 | Marill | Water | Fairy | 2 | Common | 70 | 20 | 50 | 20 | 50 | 40 | fast | Aqua Mouse | Its body is covered with water-repellent fur. Because of the fur, it can swim through water at high speed without being slowed by the water's resistance. | Blue | Forest | Female 50% | 70 | 2805 | 4 | 85 | 88 | 2 | 0 | 0 | 0 | 0 | 0 | Thick Fat | Huge Power | Sap Sipper | Water1 | Fairy | 190
184 | Azumarill | Water | Fairy | 3 | Common | 100 | 50 | 80 | 60 | 80 | 50 | fast | Aqua Rabbit | It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water. | Blue | Forest | Female 50% | 70 | 2805 | 8 | 285 | 185 | 3 | 0 | 0 | 0 | 0 | 0 | Thick Fat | Huge Power | Sap Sipper | Water1 | Fairy | 75
185 | Sudowoodo | Rock |  | 2 | Common | 70 | 100 | 115 | 30 | 65 | 30 | medium-fast | Imitation | It mimics a tree to avoid being attacked by enemies. But since its forelegs remain green throughout the year, it is easily identified as a fake in the winter. | Brown | Grassland | Female 50% | 70 | 5355 | 12 | 380 | 144 | 0 | 0 | 2 | 0 | 0 | 0 | Sturdy | Rock Head | Rattled | Mineral |  | 65
186 | Politoed | Water |  | 3 | Common | 90 | 75 | 75 | 90 | 100 | 70 | medium-slow | Frog | The curled hair on its head proves its status as a king. It is said that the longer and curlier the hair, the more respect it earns from its peers. | Green | Forest | Female 50% | 70 | 5355 | 11 | 339 | 225 | 0 | 0 | 0 | 0 | 3 | 0 | Water Absorb | Damp | Drizzle | Water1 |  | 45
187 | Hoppip | Grass | Flying | 1 | Common | 35 | 35 | 40 | 35 | 55 | 50 | medium-slow | Cottonweed | This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, a Hoppip links leaves with others to prepare against being blown away. | Pink |  | Female 50% | 70 | 5355 | 4 | 5 | 50 | 0 | 0 | 0 | 0 | 1 | 0 | Chlorophyll | Leaf Guard | Infiltrator | Fairy | Grass | 255
188 | Skiploom | Grass | Flying | 2 | Common | 55 | 45 | 50 | 45 | 65 | 80 | medium-slow | Cottonweed | It blossoms when the temperature rises above 64 degrees F. Because its flower's blooming changes with the temperature, it is sometimes used as a thermometer. | Green |  | Female 50% | 70 | 5355 | 6 | 10 | 119 | 0 | 0 | 0 | 0 | 0 | 2 | Chlorophyll | Leaf Guard | Infiltrator | Fairy | Grass | 120
189 | Jumpluff | Grass | Flying | 3 | Common | 75 | 55 | 70 | 55 | 95 | 110 | medium-slow | Cottonweed | Jumpluff ride warm southern winds to cross the sea and fly to foreign lands. This Pokémon lands when it encounters cold air while it is floating. | Blue |  | Female 50% | 70 | 5355 | 8 | 30 | 203 | 0 | 0 | 0 | 0 | 0 | 3 | Chlorophyll | Leaf Guard | Infiltrator | Fairy | Grass | 45
190 | Aipom | Normal |  | 1 | Common | 55 | 70 | 55 | 40 | 55 | 85 | fast | Long Tail | Its tail ends with a dexterous, handlike appendage. However, because it uses the tail so much, Aipom's real hands have become rather clumsy. | Purple | Grassland | Female 50% | 70 | 5355 | 8 | 115 | 72 | 0 | 0 | 0 | 0 | 0 | 1 | Run Away | Pickup | Skill Link | Field |  | 45
191 | Sunkern | Grass |  | 1 | Common | 30 | 30 | 30 | 30 | 30 | 30 | medium-slow | Seed | Sunkern try to minimize movement to conserve the nutrients they have stored in their bodies for evolution. They will not eat, subsisting only on morning dew. | Yellow |  | Female 50% | 70 | 5355 | 3 | 18 | 36 | 0 | 0 | 0 | 1 | 0 | 0 | Chlorophyll | Solar Power | Early Bird | Grass |  | 235
192 | Sunflora | Grass |  | 2 | Common | 75 | 75 | 55 | 105 | 85 | 30 | medium-slow | Sun | Sunflora convert solar energy into nutrition. They are highly active in the warm daytime but suddenly stop moving as soon as the sun sets. | Yellow |  | Female 50% | 70 | 5355 | 8 | 85 | 149 | 0 | 0 | 0 | 2 | 0 | 0 | Chlorophyll | Solar Power | Early Bird | Grass |  | 120
193 | Yanma | Bug | Flying | 1 | Common | 65 | 65 | 45 | 75 | 45 | 95 | medium-fast | Clear Wing | It can see 360 degrees without moving its eyes. It is a great flier capable of making sudden stops and turning midair to quickly chase down targeted prey. | Red | Grassland | Female 50% | 70 | 5355 | 12 | 380 | 78 | 0 | 0 | 0 | 0 | 0 | 1 | Speed Boost | Compound Eyes | Frisk | Bug |  | 75
194 | Wooper | Water | Ground | 1 | Common | 55 | 45 | 45 | 25 | 25 | 15 | medium-fast | Water Fish | Wooper usually live in water but come out onto land seeking food occasionally. On land, they coat their bodies with a gooey, toxic film. | Blue | Forest | Female 50% | 70 | 5355 | 4 | 85 | 42 | 1 | 0 | 0 | 0 | 0 | 0 | Damp | Water Absorb | Unaware | Water1 | Field | 255
195 | Quagsire | Water | Ground | 2 | Common | 95 | 85 | 85 | 65 | 65 | 35 | medium-fast | Water Fish | A Quagsire hunts by leaving its mouth wide open in water and waiting for its prey to blunder in. Because it doesn't move, it does not get very hungry. | Blue | Forest | Female 50% | 70 | 5355 | 14 | 750 | 151 | 2 | 0 | 0 | 0 | 0 | 0 | Damp | Water Absorb | Unaware | Water1 | Field | 90
196 | Espeon | Psychic |  | 2 | Common | 65 | 65 | 60 | 130 | 95 | 110 | medium-fast | Sun | An Espeon is extremely loyal to any trainer it considers to be worthy. It is said to have developed precognitive powers to protect its trainer from harm. | Purple | RoughTerrain | Female 12.5% | 70 | 9180 | 9 | 265 | 184 | 0 | 0 | 0 | 2 | 0 | 0 | Synchronize |  | Magic Bounce | Field |  | 45
197 | Umbreon | Dark |  | 2 | Common | 95 | 65 | 110 | 60 | 130 | 65 | medium-fast | Moonlight | Umbreon evolved from exposure to the moon's energy pulses. It lurks in darkness and waits for its foes to move. The rings on its body glow when it leaps to attack. | Black | RoughTerrain | Female 12.5% | 35 | 9180 | 10 | 270 | 184 | 0 | 0 | 0 | 0 | 2 | 0 | Synchronize |  | Inner Focus | Field |  | 45
198 | Murkrow | Dark | Flying | 1 | Common | 60 | 85 | 42 | 85 | 42 | 91 | medium-slow | Darkness | Murkrow were feared as the alleged bearers of ill fortune. It shows strong interest in anything that sparkles. It will even try to steal rings from women. | Black | Grassland | Female 50% | 35 | 5355 | 5 | 21 | 81 | 0 | 0 | 0 | 0 | 0 | 1 | Insomnia | Super Luck | Prankster | Flying |  | 30
199 | Slowking | Water | Psychic | 2 | Common | 95 | 75 | 80 | 100 | 110 | 30 | medium-fast | Royal | It undertakes research every day to solve the mysteries of the world. However, it apparently forgets everything if the Shellder on its head comes off. | Pink | Forest | Female 50% | 70 | 5355 | 20 | 795 | 172 | 0 | 0 | 0 | 0 | 3 | 0 | Oblivious | Own Tempo | Regenerator | Monster | Water1 | 70
200 | Misdreavus | Ghost |  | 1 | Common | 60 | 60 | 60 | 85 | 85 | 85 | fast | Screech | A Misdreavus frightens people with a creepy, sobbing cry. It apparently uses its red spheres to absorb the fear of foes as its nutrition. | Purple | Sea | Female 50% | 35 | 6630 | 7 | 10 | 87 | 0 | 0 | 0 | 0 | 1 | 0 | Levitate |  |  | Amorphous |  | 45
201 | Unown | Psychic |  | 1 | Common | 48 | 72 | 48 | 72 | 48 | 48 | medium-fast | Symbol | This Pokémon is shaped like ancient text characters. Although research is ongoing, it is a mystery as to which came first, the ancient writings or the various Unown. | Black | Urban | Genderless | 70 | 10455 | 5 | 50 | 118 | 0 | 1 | 0 | 1 | 0 | 0 | Levitate |  |  | Undiscovered |  | 225
202 | Wobbuffet | Psychic |  | 2 | Common | 190 | 33 | 58 | 33 | 58 | 33 | medium-fast | Patient | Usually docile, a Wobbuffet strikes back ferociously if its black tail is attacked. It makes its lair in caves where it waits for nightfall. | Blue | Sea | Female 50% | 70 | 5355 | 13 | 285 | 142 | 2 | 0 | 0 | 0 | 0 | 0 | Shadow Tag |  | Telepathy | Amorphous |  | 45
203 | Girafarig | Normal | Psychic | 1 | Common | 70 | 80 | 65 | 90 | 65 | 85 | medium-fast | Long Neck | A Girafarig is an herbivore--it eats grass and tree shoots. While it is eating, its tail makes chewing and swallowing motions as if it were also eating. | Yellow |  | Female 50% | 70 | 5355 | 15 | 415 | 159 | 0 | 0 | 0 | 2 | 0 | 0 | Inner Focus | Early Bird | Sap Sipper | Field |  | 60
204 | Pineco | Bug |  | 1 | Common | 50 | 65 | 90 | 35 | 35 | 15 | medium-fast | Bagworm | A Pineco hangs from a tree branch and waits for prey. While eating, if it is disturbed by someone shaking its tree, it falls on the ground and suddenly explodes. | Gray | Grassland | Female 50% | 70 | 5355 | 6 | 72 | 58 | 0 | 0 | 1 | 0 | 0 | 0 | Sturdy |  | Overcoat | Bug |  | 190
205 | Forretress | Bug | Steel | 2 | Common | 75 | 90 | 140 | 60 | 60 | 40 | medium-fast | Bagworm | It keeps itself inside its steel shell. The shell is opened when it is catching prey, but it is so quick that the shell's inside cannot be seen. | Purple | Grassland | Female 50% | 70 | 5355 | 12 | 1258 | 163 | 0 | 0 | 2 | 0 | 0 | 0 | Sturdy |  | Overcoat | Bug |  | 75
206 | Dunsparce | Normal |  | 1 | Common | 100 | 70 | 70 | 65 | 65 | 45 | medium-fast | Land Snake | Its drill-tipped tail is used to burrow into the ground backwards. This Pokémon is known to make its nest in complex shapes deep under the ground. | Yellow | Sea | Female 50% | 70 | 5355 | 15 | 140 | 145 | 1 | 0 | 0 | 0 | 0 | 0 | Serene Grace | Run Away | Rattled | Field |  | 190
207 | Gligar | Ground | Flying | 1 | Common | 65 | 75 | 105 | 35 | 65 | 85 | medium-slow | FlyScorpion | It glides without making a single sound. It grasps the face of its foe using its hind and large front claws, then stabs with its poison barb. | Purple | Cave | Female 50% | 70 | 5355 | 11 | 648 | 86 | 0 | 0 | 1 | 0 | 0 | 0 | Hyper Cutter | Sand Veil | Immunity | Bug |  | 60
208 | Steelix | Steel | Ground | 2 | Common | 75 | 85 | 200 | 55 | 65 | 30 | medium-fast | Iron Snake | Steelix live even further underground than Onix. This Pokémon is known to dig toward the earth's core, reaching a depth of over six-tenths of a mile underground. | Gray | Sea | Female 50% | 70 | 6630 | 92 | 4000 | 179 | 0 | 0 | 2 | 0 | 0 | 0 | Rock Head | Sturdy | Sheer Force | Mineral |  | 25
209 | Snubbull | Fairy |  | 1 | Common | 60 | 70 | 50 | 40 | 40 | 30 | fast | Fairy | By baring its fangs and making a scary face, it sends smaller Pokémon scurrying in terror. The Snubbull does seem a little sad at making its foes flee. | Pink | RoughTerrain | Female 75% | 70 | 5355 | 6 | 78 | 60 | 0 | 1 | 0 | 0 | 0 | 0 | Intimidate | Run Away | Rattled | Field | Fairy | 190
210 | Granbull | Fairy |  | 2 | Common | 90 | 120 | 75 | 60 | 60 | 45 | fast | Fairy | It has a particularly well-developed lower jaw. The huge fangs are heavy, causing it to tilt its head. Unless it is startled, it will not try to bite. | Purple | RoughTerrain | Female 75% | 70 | 5355 | 14 | 487 | 158 | 0 | 2 | 0 | 0 | 0 | 0 | Intimidate | Quick Feet | Rattled | Field | Fairy | 75
211 | Qwilfish | Water | Poison | 1 | Common | 65 | 95 | 75 | 55 | 55 | 85 | medium-fast | Balloon | A Qwilfish uses the pressure of water it swallows to shoot toxic quills all at once from all over its body. It finds swimming to be somewhat challenging. | Gray | WatersEdge | Female 50% | 70 | 5355 | 5 | 39 | 86 | 0 | 1 | 0 | 0 | 0 | 0 | Poison Point | Swift Swim | Intimidate | Water2 |  | 45
212 | Scizor | Bug | Steel | 2 | Common | 70 | 130 | 100 | 55 | 80 | 65 | medium-fast | Pincer | A Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. It flaps its wings to regulate its body temperature. | Red |  | Female 50% | 70 | 6630 | 18 | 1180 | 175 | 0 | 2 | 0 | 0 | 0 | 0 | Swarm | Technician | Light Metal | Bug |  | 25
213 | Shuckle | Bug | Rock | 1 | Common | 20 | 10 | 230 | 10 | 230 | 5 | medium-slow | Mold | A Shuckle hides under rocks, keeping its body concealed inside its shell while eating stored berries. The berries mix with its body fluids to become a juice. | Yellow | Cave | Female 50% | 70 | 5355 | 6 | 205 | 177 | 0 | 0 | 1 | 0 | 1 | 0 | Sturdy | Gluttony | Contrary | Bug |  | 190
214 | Heracross | Bug | Fighting | 1 | Common | 80 | 125 | 75 | 40 | 95 | 85 | slow | Single Horn | They gather in forests seeking the sweet sap of trees. It is completely clad in a steel-hard shell. It is proud of its horn, which it uses to fling foes. | Blue | Grassland | Female 50% | 70 | 6630 | 15 | 540 | 175 | 0 | 2 | 0 | 0 | 0 | 0 | Swarm | Guts | Moxie | Bug |  | 45
215 | Sneasel | Dark | Ice | 1 | Common | 55 | 95 | 55 | 35 | 75 | 115 | medium-slow | Sharp Claw | A Sneasel scales trees by punching its hooked claws into the bark. It seeks out unguarded nests and steals eggs for food while the parents are away. | Black | Grassland | Female 50% | 35 | 5355 | 9 | 280 | 86 | 0 | 0 | 0 | 0 | 0 | 1 | Inner Focus | Keen Eye | Pickpocket | Field |  | 60
216 | Teddiursa | Normal |  | 1 | Common | 60 | 80 | 50 | 50 | 50 | 40 | medium-fast | Little Bear | It licks its palms that are sweetened by being soaked in honey. A Teddiursa makes its own honey by blending fruits and pollen collected by Beedrill. | Brown | Cave | Female 50% | 70 | 5355 | 6 | 88 | 66 | 0 | 1 | 0 | 0 | 0 | 0 | Pickup | Quick Feet | Honey Gather | Field |  | 120
217 | Ursaring | Normal |  | 2 | Common | 90 | 130 | 75 | 75 | 75 | 55 | medium-fast | Hibernator | In forests, it is said that there are many streams and towering trees where an Ursaring gathers food. It walks through its forest collecting food every day. | Brown | Cave | Female 50% | 70 | 5355 | 18 | 1258 | 175 | 0 | 2 | 0 | 0 | 0 | 0 | Guts | Quick Feet | Unnerve | Field |  | 60
218 | Slugma | Fire |  | 1 | Common | 40 | 40 | 40 | 70 | 40 | 20 | medium-fast | Lava | It is a species of Pokémon that lives in volcanic areas. If its body cools, its skin hardens and immobilizes it. To avoid that, it sleeps near magma. | Red | Cave | Female 50% | 70 | 5355 | 7 | 350 | 50 | 0 | 0 | 0 | 1 | 0 | 0 | Magma Armor | Flame Body | Weak Armor | Amorphous |  | 190
219 | Magcargo | Fire | Rock | 2 | Common | 50 | 50 | 120 | 80 | 80 | 30 | medium-fast | Lava | The shell on its back is made of hardened magma. Tens of thousands of years spent living in volcanic craters have turned Magcargo's bodies into magma. | Red | Cave | Female 50% | 70 | 5355 | 8 | 550 | 144 | 0 | 0 | 2 | 0 | 0 | 0 | Magma Armor | Flame Body | Weak Armor | Amorphous |  | 75
220 | Swinub | Ice | Ground | 1 | Common | 50 | 50 | 40 | 30 | 30 | 50 | slow | Pig | It roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under dried grass. It occasionally roots out hot springs. | Brown | Sea | Female 50% | 70 | 5355 | 4 | 65 | 50 | 0 | 1 | 0 | 0 | 0 | 0 | Oblivious | Snow Cloak | Thick Fat | Field |  | 225
221 | Piloswine | Ice | Ground | 2 | Common | 100 | 100 | 80 | 60 | 60 | 50 | slow | Swine | A Piloswine is covered by a thick coat of long hair for enduring freezing cold. It uses its tusks to dig up food that has been buried under ice. | Brown | Sea | Female 50% | 70 | 5355 | 11 | 558 | 158 | 1 | 1 | 0 | 0 | 0 | 0 | Oblivious | Snow Cloak | Thick Fat | Field |  | 75
222 | Corsola | Water | Rock | 1 | Common | 55 | 55 | 85 | 65 | 85 | 35 | fast | Coral | Corsola live in warm southern seas. If the sea becomes polluted, the beautiful coral stalks become discolored and crumble away in tatters. | Pink | WatersEdge | Female 75% | 70 | 5355 | 6 | 50 | 133 | 0 | 0 | 1 | 0 | 1 | 0 | Hustle | Natural Cure | Regenerator | Water1 | Water3 | 60
223 | Remoraid | Water |  | 1 | Common | 35 | 65 | 35 | 65 | 35 | 65 | medium-fast | Jet | A Remoraid uses its abdominal muscles to forcefully expel swallowed water, then shoot down flying prey. When evolution approaches, it travels down rivers. | Gray | WatersEdge | Female 50% | 70 | 5355 | 6 | 120 | 60 | 0 | 0 | 0 | 1 | 0 | 0 | Hustle | Sniper | Moody | Water1 | Water2 | 190
224 | Octillery | Water |  | 2 | Common | 75 | 105 | 75 | 105 | 75 | 45 | medium-fast | Jet | It ensnares its foe with its suction- cupped tentacles before delivering the finishing blow. If the foe turns out to be too strong, it spews ink to escape. | Red | WatersEdge | Female 50% | 70 | 5355 | 9 | 285 | 168 | 0 | 1 | 0 | 1 | 0 | 0 | Suction Cups | Sniper | Moody | Water1 | Water2 | 75
225 | Delibird | Ice | Flying | 1 | Common | 45 | 55 | 45 | 65 | 45 | 75 | fast | Delivery | It carries food bundled up in its tail. There was a famous explorer who managed to scale Mt. Everest thanks to a Delibird sharing its food. | Red | Cave | Female 50% | 70 | 5355 | 9 | 160 | 116 | 0 | 0 | 0 | 0 | 0 | 1 | Vital Spirit | Hustle | Winter Joy | Water1 | Field | 45
226 | Mantine | Water | Flying | 2 | Common | 65 | 40 | 70 | 80 | 140 | 70 | slow | Kite | On sunny days, schools of Mantine can be seen elegantly leaping over the waves. It is not bothered by the Remoraid that hitches rides. | Purple | WatersEdge | Female 50% | 70 | 6630 | 21 | 2200 | 163 | 0 | 0 | 0 | 0 | 2 | 0 | Swift Swim | Water Absorb | Water Veil | Water1 |  | 25
227 | Skarmory | Steel | Flying | 1 | Common | 65 | 80 | 140 | 40 | 70 | 70 | slow | Armor Bird | A Pokémon that has a body and wings of steel. People in the past used feathers fallen from Skarmory to make swords and knives. | Gray | Mountain | Female 50% | 70 | 6630 | 17 | 505 | 163 | 0 | 0 | 2 | 0 | 0 | 0 | Keen Eye | Sturdy | Weak Armor | Flying |  | 25
228 | Houndour | Dark | Fire | 1 | Common | 45 | 60 | 30 | 80 | 50 | 65 | slow | Dark | Houndour communicate with each other using a variety of cries to corner their prey. This Pokémon's remarkable teamwork is simply unparalleled. | Black | Mountain | Female 50% | 35 | 5355 | 6 | 108 | 66 | 0 | 0 | 0 | 1 | 0 | 0 | Early Bird | Flash Fire | Unnerve | Field |  | 120
229 | Houndoom | Dark | Fire | 2 | Common | 75 | 90 | 50 | 110 | 80 | 95 | slow | Dark | In a Houndoom pack, the one with its horns raked sharply back serves a leadership role. They choose their leader by fighting among themselves. | Black | Mountain | Female 50% | 35 | 5355 | 14 | 350 | 175 | 0 | 0 | 0 | 2 | 0 | 0 | Early Bird | Flash Fire | Unnerve | Field |  | 45
230 | Kingdra | Water | Dragon | 3 | Common | 75 | 95 | 95 | 95 | 95 | 85 | medium-fast | Dragon | It sleeps quietly, deep on the seafloor. When it comes up to the surface, it creates a huge whirlpool that can swallow even ships. | Blue | WatersEdge | Female 50% | 70 | 5355 | 18 | 1520 | 243 | 0 | 1 | 0 | 1 | 1 | 0 | Swift Swim | Sniper | Damp | Water1 | Dragon | 45
231 | Phanpy | Ground |  | 1 | Common | 90 | 60 | 60 | 40 | 40 | 40 | medium-fast | Long Nose | Phanpy's big ears serve as broad fans. When it becomes hot, it flaps the ears busily to cool down. Even the young are very strong. | Blue | Mountain | Female 50% | 70 | 5355 | 5 | 335 | 66 | 1 | 0 | 0 | 0 | 0 | 0 | Pickup |  | Sand Veil | Field |  | 120
232 | Donphan | Ground |  | 2 | Common | 90 | 120 | 120 | 60 | 60 | 50 | medium-fast | Armor | A Donphan is so strong it can easily haul a dump truck. Its hide has toughened to a rock-hard state. An ordinary sort of attack won't even leave a scratch. | Gray | Mountain | Female 50% | 70 | 5355 | 11 | 1200 | 175 | 0 | 1 | 1 | 0 | 0 | 0 | Sturdy |  | Sand Veil | Field |  | 60
233 | Porygon2 | Normal |  | 2 | Common | 85 | 80 | 90 | 105 | 95 | 60 | medium-fast | Virtual | It was created by humans using the power of science. It has been given artificial intelligence that enables it to learn new gestures and emotions on its own. | Red | RoughTerrain | Genderless | 70 | 5355 | 6 | 325 | 180 | 0 | 0 | 0 | 2 | 0 | 0 | Trace | Download | Analytic | Mineral |  | 45
234 | Stantler | Normal |  | 1 | Common | 73 | 95 | 62 | 85 | 65 | 85 | slow | Big Horn | Stantler's magnificent antlers were once traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction. | Brown | Grassland | Female 50% | 70 | 5355 | 14 | 712 | 163 | 0 | 1 | 0 | 0 | 0 | 0 | Intimidate | Frisk | Sap Sipper | Field |  | 45
235 | Smeargle | Normal |  | 1 | Common | 55 | 20 | 35 | 20 | 45 | 75 | fast | Painter | A Smeargle marks its territory using a fluid that leaks out from the tip of its tail. About 5,000 different marks left by this Pokémon have been found. | White | RoughTerrain | Female 50% | 70 | 5355 | 12 | 580 | 88 | 0 | 0 | 0 | 0 | 0 | 1 | Own Tempo | Technician | Moody | Field |  | 45
236 | Tyrogue | Fighting |  | 1 | Common | 35 | 35 | 35 | 35 | 35 | 35 | medium-fast | Scuffle | Tyrogue become stressed out if they do not get to train every day. When raising this Pokémon, the trainer must establish a regular training schedule. | Purple | RoughTerrain | Always male | 70 | 6630 | 7 | 210 | 42 | 0 | 1 | 0 | 0 | 0 | 0 | Guts | Steadfast | Vital Spirit | Undiscovered |  | 75
237 | Hitmontop | Fighting |  | 2 | Common | 50 | 95 | 95 | 35 | 110 | 70 | medium-fast | Handstand | Its technique of kicking while spinning is a remarkable mix of both offense and defense. Hitmontop travel faster spinning than they do walking. | Brown | RoughTerrain | Always male | 70 | 6630 | 14 | 480 | 159 | 0 | 0 | 0 | 0 | 2 | 0 | Intimidate | Technician | Steadfast | Humanlike |  | 45
238 | Smoochum | Ice | Psychic | 1 | Common | 45 | 30 | 15 | 85 | 65 | 65 | medium-fast | Kiss | It actively runs about, but also falls often. Whenever it falls, it will check its reflection on a lake's surface to make sure its face hasn't become dirty. | Pink | RoughTerrain | Always female | 70 | 6630 | 4 | 60 | 61 | 0 | 0 | 0 | 1 | 0 | 0 | Oblivious | Forewarn | Hydration | Undiscovered |  | 45
239 | Elekid | Electric |  | 1 | Common | 45 | 63 | 37 | 65 | 55 | 95 | medium-fast | Electric | If it touches metal and discharges the electricity it has stored in its body, an Elekid begins swinging its arms in circles to recharge itself. | Yellow |  | Female 25% | 70 | 6630 | 6 | 235 | 72 | 0 | 0 | 0 | 0 | 0 | 1 | Static |  | Vital Spirit | Undiscovered |  | 45
240 | Magby | Fire |  | 1 | Common | 45 | 75 | 37 | 70 | 55 | 83 | medium-fast | Live Coal | If a Magby is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames. | Red | Cave | Female 25% | 70 | 6630 | 7 | 214 | 73 | 0 | 0 | 0 | 0 | 0 | 1 | Flame Body |  | Vital Spirit | Undiscovered |  | 45
241 | Miltank | Normal |  | 1 | Common | 95 | 80 | 105 | 40 | 70 | 100 | slow | Milk Cow | It gives over five gallons of milk daily. Its sweet milk is enjoyed by children and grown-ups alike. People who can't drink milk turn it into yogurt and eat it instead. | Pink |  | Always female | 70 | 5355 | 12 | 755 | 172 | 0 | 0 | 2 | 0 | 0 | 0 | Thick Fat | Scrappy | Sap Sipper | Field |  | 45
242 | Blissey | Normal |  | 3 | Common | 255 | 10 | 10 | 75 | 135 | 55 | fast | Happiness | If it senses sadness with its fluffy fur, a Blissey will rush over to the sad person, however far away, to share an egg of happiness that brings a smile to any face. | Pink | RoughTerrain | Always female | 140 | 10455 | 15 | 468 | 608 | 3 | 0 | 0 | 0 | 0 | 0 | Natural Cure | Serene Grace | Healer | Fairy |  | 30
243 | Raikou | Electric |  | 1 | Legendary | 90 | 85 | 75 | 115 | 100 | 115 | slow | Thunder | Raikou embodies the speed of lightning. Its roars send shock waves shuddering through the air and ground as if lightning bolts were crashing down. | Yellow |  | Genderless | 35 | 20655 | 19 | 1780 | 261 | 0 | 0 | 0 | 1 | 0 | 2 | Pressure |  | Volt Absorb | Undiscovered |  | 3
244 | Entei | Fire |  | 1 | Legendary | 115 | 115 | 85 | 90 | 75 | 100 | slow | Volcano | Entei embodies the passion of magma. It is thought to have been born in the eruption of a volcano. It blasts fire that consumes all that it touches. | Brown |  | Genderless | 35 | 20655 | 21 | 1980 | 261 | 1 | 2 | 0 | 0 | 0 | 0 | Pressure |  | Flash Fire | Undiscovered |  | 3
